id,pic_num,formula,Mn,Co,Cu,Ga,Ge,Nb,Ni,Si,Sn,Zn,N,C,B,sType,sTemper,sHour,t0,deltaL,l1,l2,deltaT,alpha,t1,t2
65,10-f1,Mn3Cu0.9Ge0.1N1,3,0,0.9,0,0.1,0,0,0,0,0,1,0,0,0,800,60,300,-430.45,-2943.54,-3373.99,23.02,-18.7,85.76,108.78
66,10-f1,Mn3Cu0.85Ge0.15N1,3,0,0.85,0,0.15,0,0,0,0,0,1,0,0,0,800,60,300,-3364.44,38.6,-3325.84,27.63,-121.78,89.21,116.84
67,10-f1,Mn3Cu0.7Ge0.3N1,3,0,0.7,0,0.3,0,0,0,0,0,1,0,0,0,800,60,300,-2409.6,854.83,-1554.77,59.28,-40.65,151.37,210.65
68,10-f1,Mn3Cu0.6Ge0.4N1,3,0,0.6,0,0.4,0,0,0,0,0,1,0,0,0,800,60,300,-1375.16,1347.83,-27.33,71.94,-19.11,217.55,289.5
69,10-f1,Mn3Cu0.5Ge0.5N1,3,0,0.5,0,0.5,0,0,0,0,0,1,0,0,0,800,60,300,-656.15,20.37,-635.78,84.6,-7.76,280.29,364.89
70,11-f3,Mn3Cu0.5Ge0.4Ni0.1N1,3,0,0.5,0,0.4,0,0.1,0,0,0,1,0,0,0,850,48,300,-1062.77,862.05,-200.73,65.1,-16.33,209.58,274.68
71,11-f3,Mn3Cu0.45Ge0.4Ni0.15N1,3,0,0.45,0,0.4,0,0.15,0,0,0,1,0,0,0,850,48,300,-776.68,480.23,-296.45,70.14,-11.07,194.96,265.11
72,11-f3,Mn3Cu0.4Ge0.4Ni0.2N1,3,0,0.4,0,0.4,0,0.2,0,0,0,1,0,0,0,850,48,300,-837.31,263.07,-574.24,75.18,-11.14,182.01,257.19
73,11-f3,Mn3Cu0.35Ge0.4Ni0.25N1,3,0,0.35,0,0.4,0,0.25,0,0,0,1,0,0,0,850,48,300,-698.27,-92.86,-791.13,80.17,-8.71,164.79,244.96
74,11-f3,Mn3Cu0.3Ge0.4Ni0.3N1,3,0,0.3,0,0.4,0,0.3,0,0,0,1,0,0,0,850,48,300,-688.54,-424.95,-1113.49,65.06,-10.58,159.8,224.86
75,11-f3,Mn3Cu0.25Ge0.4Ni0.35N1,3,0,0.25,0,0.4,0,0.35,0,0,0,1,0,0,0,850,48,300,-489.76,-892.24,-1382,64.68,-7.57,145.48,210.17
76,11-f3,Mn3Cu0.2Ge0.4Ni0.4N1,3,0,0.2,0,0.4,0,0.4,0,0,0,1,0,0,0,850,48,300,-136.55,-1688.38,-1824.93,39.87,-3.42,120.07,159.94
77,12-f2,Mn3Cu0.9Ge0.1N1,3,0,0.9,0,0.1,0,0,0,0,0,1,0,0,0,800,60,500,-393.29,-7065.56,-7458.85,19.58,-20.09,84.49,104.06
78,12-f2,Mn3Cu0.85Ge0.15N1,3,0,0.85,0,0.15,0,0,0,0,0,1,0,0,0,800,60,500,-3350.47,-4248.59,-7599.06,28.42,-117.9,86.79,115.21
79,12-f2,Mn3Cu0.7Ge0.3N1,3,0,0.7,0,0.3,0,0,0,0,0,1,0,0,0,800,60,500,-2447.34,-3597.2,-6044.54,59.91,-40.85,149,208.91
80,12-f2,Mn3Cu0.6Ge0.4N1,3,0,0.6,0,0.4,0,0,0,0,0,1,0,0,0,800,60,500,-1376.21,-2917.21,-4293.42,71.43,-19.27,218.89,290.32
81,12-f2,Mn3Cu0.5Ge0.5N1,3,0,0.5,0,0.5,0,0,0,0,0,1,0,0,0,800,60,500,-643.67,-1983.99,-2627.65,75.27,-8.55,282.64,357.91
82,12-f2,Mn3Cu0.3Ge0.7N1,3,0,0.3,0,0.7,0,0,0,0,0,1,0,0,0,800,60,500,0,-311.36,-311.36,1,0,472.08,473.08
83,12-f2,Mn3Cu0.9Sn0.1N1,3,0,0.9,0,0,0,0,0,0.1,0,1,0,0,0,800,60,500,-3436.62,-4281.69,-7718.31,20.85,-164.83,79.2,100.05
84,13-f2,Mn3Cu0.6Ge0.4N1,3,0,0.6,0,0.4,0,0,0,0,0,1,0,0,0,800,48,295,-940.54,940.54,0,57.94,-16.23,237.41,295.35
85,13-f2,Mn3Cu0.6Ge0.35Nb0.05N1,3,0,0.6,0,0.35,0.05,0,0,0,0,1,0,0,0,800,48,295,-313.51,248.65,-64.86,60.9,-5.15,220.07,280.97
86,13-f2,Mn3Cu0.6Ge0.3Nb0.1N1,3,0,0.6,0,0.3,0.1,0,0,0,0,1,0,0,0,800,48,295,-1113.51,605.41,-508.11,56.67,-19.65,199.34,256.02
87,13-f2,Mn3Cu0.6Ge0.25Nb0.15N1,3,0,0.6,0,0.25,0.15,0,0,0,0,1,0,0,0,800,48,295,-1059.46,129.73,-929.73,92.62,-11.44,128.29,220.91
88,13-f2,Mn3Cu0.6Ge0.2Nb0.2N1,3,0,0.6,0,0.2,0.2,0,0,0,0,1,0,0,0,800,48,295,-540.54,-821.62,-1362.16,95.16,-5.68,77.11,172.27
89,13-f2,Mn3Cu0.6Ge0.15Nb0.25N1,3,0,0.6,0,0.15,0.25,0,0,0,0,1,0,0,0,800,48,295,-897.3,-994.59,-1891.89,44.41,-20.21,75,119.41
