Alloy,Dmax
Al40Cu10Ti50,0
Al40Cu20La40,0
Al40Cu20Ti40,0
Al40Cu30La30,0
Al40Cu30Ti30,0
Al40Cu40La20,0
Al40Cu40Ti20,0
Al40La10Ni50,0
Al40La15Ni45,0
Al40Mg40Zn20,0
Al40Mg50Zn10,0
Al40Mn25Si35,0
Al40Ni10Zr50,0
Al40Ni20Zr40,0
Al40Ni30Zr30,0
Al40Ni40Zr20,0
Al40Ni50Ti10,0
Al40Ni50Zr10,0
Al42Mg44Pd14,0
Al43Mg44Pd13,0
Al45Cr15Si40,0
Al45Cr20Si35,0
Al45Cu10Ti45,0
Al45Cu20Ti35,0
Al45Cu35Ti20,0
Al45Cu40Ti15,0
Al45Cu5Ti50,0
Al45Ge40V15,0
Al48Mg22Pd30,0
Al4B10Co86,0
Al4B14Co82,0
Al4Ce10Cu86,0
Al4Ce4Cu92,0
Al4Ce8Cu88,0
Al4Cu86Nd10,0
Al4Cu88Nd8,0
Al4Cu90Nd6,0
Al4Cu92Nd4,0
Al50Cu10La40,0
Al50Cu10Ti40,0
Al50Cu20La30,0
Al50Cu20Ti30,0
Al50Cu30La20,0
Al50Cu30Ti20,0
Al50Cu40La10,0
Al50Cu40V10,0
Al50Cu5Ti45,0
Al50Ge25V25,0
Al50Ge30V20,0
Al50Ge35V15,0
Al50Ge40V10,0
Al50La10Ni40,0
Al50La15Ni35,0
Al50Mg25Pd25,0
Al50Mg40Zn10,0
Al50Ni10Zr40,0
Al50Ni40Zr10,0
Al52Mg17Pd31,0
Al52Mg18Pd30,0
Al54Mg32Pd14,0
Al55Cr20Si25,0
Al55Cr25Si20,0
Al55Cu10Ti35,0
Al55Cu35Ti10,0
Al55Ge25V20,0
Al55La30Ni15,0
Al55La35Ni10,0
Al55Mg15Pd30,0
Al55Ni30Zr15,0
Al57Cr23Si20,0
Al57Cr28Si15,0
Al58Cr20Si22,0
Al59Cr19Si22,0
Al5Mg80Zn15,0
Al5Mg85Zn10,0
Al5Mg90Zn5,0
Al5Ni50Ti45,0
Al60Ce20Fe20,0
Al60Ce20Ni20,0
Al60Ce23Fe17,0
Al60Ce25Fe15,0
Al60Cr18Si22,0
Al60Cr20Si20,0
Al60Cr25Si15,0
Al60Cr30Si10,0
Al60Cr5Si35,0
Al60Cu10Ti30,0
Al60Cu20Ti20,0
Al60Cu25V15,0
Al60Cu35Ti5,0
Al60Cu35V5,0
Al60Cu5Ti35,0
Al60Gd20Ni20,0
Al60Ge20V20,0
Al60Ge35V5,0
Al60La10Ni30,0
Al60Mn20Si20,0
Al60Ni10Zr30,0
Al61Cr21Si18,0
Al62.5Ce25.5Fe12,0
Al62Cr19Si19,0
Al63Cr15Si22,0
Al63Cr19Si18,0
Al64Ce23Fe13,0
Al65Ce15Fe20,0
Al65Ce20Fe15,0
Al65Ce25Fe10,0
Al65Cr15Si20,0
Al65Cr20Ge15,0
Al65Cr20Si15,0
Al65Cr25Si10,0
Al65Cu15V20,0
Al65Cu20Mn15,0
Al65Cu20V15,0
Al65Ge15Mn20,0
Al65Ge20V15,0
Al65Ge30V5,0
Al65La25Ni10,0
Al65La30Ni5,0
Al65Mn20Si15,0
Al65Nd20Ni15,0
Al65Ni15Y20,0
Al66.6Mn17.4Si16,0
Al67Ce18Fe15,0
Al68.6Mn17.4Si14,0
Al68Cr15Si17,0
Al6Ce4Cu90,0
Al6Ce6Cu88,0
Al6Ce8Cu86,0
Al6Cu88Nd6,0
Al70.6Mn17.4Si12,0
Al70Ce10Cu20,0
Al70Ce10Fe20,0
Al70Ce15Cu15,0
Al70Ce15Fe15,0
Al70Ce20Fe10,0
Al70Ce20Ni10,0
Al70Cr10Si20,0
Al70Cr15Si15,0
Al70Cr20Si10,0
Al70Cr25Si5,0
Al70Cr5Si25,0
Al70Cu10Ti20,0
Al70Cu20La10,0
Al70Cu25V5,0
Al70Gd20Ni10,0
Al70Ge20V10,0
Al70Ge25V5,0
Al70La15Ni15,0
Al70La20Ni10,0
Al70La25Ni5,0
Al70Mn5Si25,0
Al70Nd20Ni10,0
Al70Ni10Y20,0
Al70Ni10Zr20,0
Al70Ni15Zr15,0
Al70Ni20Y10,0
Al70Ni25Zr5,0
Al71Ce17Fe12,0
Al72.5Mn17.4Si10.1,0
Al74.6Mn17.4Si8,0
Al74Mg5Pd21,0
Al75Ce10Co15,0
Al75Ce10Fe15,0
Al75Ce15Co10,0
Al75Ce15Cu10,0
Al75Ce15Fe10,0
Al75Ce15Nb10,0
Al75Ce20Fe5,0
Al75Ce5Co20,0
Al75Ce5Cu20,0
Al75Cr10Si15,0
Al75Cr15Si10,0
Al75Cr20Si5,0
Al75Cr5Si20,0
Al75Cu10V15,0
Al75Gd15Ni10,0
Al75Gd5Ni20,0
Al75Ge15V10,0
Al75La15Ni10,0
Al75Nd20Ni5,0
Al75Nd5Ni20,0
Al75Ni20Sm5,0
Al75Ni20Y5,0
Al75Ni5Sm20,0
Al75Ni5Y20,0
Al76.6Mn17.4Si6,0
Al76Cu8.5Mn15.5,0
Al77Ce10Co13,0
Al77Ce10Nb13,0
Al77Ce18Fe5,0
Al77Cu20V3,0
Al78.6Mn17.4Si4,0
Al80Ca10Ni10,0
Al80Ce10Cr10,0
Al80Ce10Mn10,0
Al80Ce10V10,0
Al80Ce15Co5,0
Al80Ce15Cr5,0
Al80Ce15Cu5,0
Al80Ce15Fe5,0
Al80Ce15Nb5,0
Al80Ce15Ni5,0
Al80Cr10Si10,0
Al80Cr5Si15,0
Al80Cu10La10,0
Al80Cu5V15,0
Al80Gd15Ni5,0
Al80La15Ni5,0
Al80Mn15Ni5,0
Al80Mn6Ni14,0
Al80Mn8Ni12,0
Al80Nd15Ni5,0
Al80Ni10Zr10,0
Al80Ni5Y15,0
Al82Fe4Ni14,0
Al82Mn4Ni14,0
Al82Mn6Ni12,0
Al82Mn8Ni10,0
Al82Ni10Zr8,0
Al83Ce10Cr7,0
Al83Ce10Mn7,0
Al83Ce2Cu15,0
Al83Fe3Ni14,0
Al83Mn4Ni13,0
Al83Ni15Zr2,0
Al84Co12Fe4,0
Al84Co14Fe2,0
Al84Co14Mn2,0
Al84Co8Ni8,0
Al84Fe2Ni14,0
Al84Fe3Ni13,0
Al84Fe4Ni12,0
Al84Fe8Ni8,0
Al84Mn2Ni14,0
Al84Mn4Ni12,0
Al84Mn6Ni10,0
Al84Mn8Ni8,0
Al85Ca5Ni10,0
Al85Ce10V5,0
Al85Ce13V2,0
Al85Ce5Mn10,0
Al85Ce5Nb10,0
Al85Co10Ni5,0
Al85Co1Ni14,0
Al85Cr10Si5,0
Al85Cr5Si10,0
Al85Cu10La5,0
Al85Fe1Ni14,0
Al85Fe2Ni13,0
Al85Fe3Ni12,0
Al85Fe5Ni10,0
Al85Fe8Si7,0
Al85Mn2Ni13,0
Al85Mn7Ni8,0
Al86Co10Fe4,0
Al86Co10Mn4,0
Al86Co12Mn2,0
Al86Co1Ni13,0
Al86Co2Ni12,0
Al86Co3Ni11,0
Al86Co4Fe10,0
Al86Co5Ni9,0
Al86Co6Fe8,0
Al86Co8Fe6,0
Al86Co8Mn6,0
Al86Fe10Ni4,0
Al86Fe12Ni2,0
Al86Fe12Si2,0
Al86Fe1Ni13,0
Al86Fe4Ni10,0
Al86Fe5Ni9,0
Al86Fe6Ni8,0
Al86Fe7Ni7,0
Al86Fe8Ni6,0
Al86Mn4Ni10,0
Al86Mn6Ni8,0
Al86Mn8Ni6,0
Al87.5Ca10Fe2.5,0
Al87.5Ca10Ni2.5,0
Al87.5Ca2.5Ni10,0
Al87.5Ni7.5Zr5,0
Al87Ce8Cr5,0
Al87Ce8Mn5,0
Al87Co4Ni9,0
Al87Co9Fe4,0
Al87Cu8V5,0
Al87Fe4Ni9,0
Al87Fe5Ni8,0
Al87Fe6Ni7,0
Al88.75Ca1.25Ni10,0
Al88Ce2Cu10,0
Al88Ce2Mn10,0
Al88Ce5Cu7,0
Al88Ce8V4,0
Al88Co10Fe2,0
Al88Co10Mn2,0
Al88Co10Ni2,0
Al88Co11Ni1,0
Al88Co1Ni11,0
Al88Co2Fe10,0
Al88Co2Ni10,0
Al88Co3Ni9,0
Al88Co4Fe8,0
Al88Co6Fe6,0
Al88Co6Mn6,0
Al88Co6Ni6,0
Al88Co7Ni5,0
Al88Co8Fe4,0
Al88Co8Mn4,0
Al88Co8Ni4,0
Al88Co9Ni3,0
Al88Cr10Si2,0
Al88Fe10Ni2,0
Al88Fe10Si2,0
Al88Fe2Ni10,0
Al88Fe4Ni8,0
Al88Fe5Ni7,0
Al88Fe6Ni6,0
Al88Fe8Ni4,0
Al88Mn4Ni8,0
Al88Mn6Ni6,0
Al88Mn8Ni4,0
Al89Ce1Fe10,0
Al89Ce6Mn5,0
Al89Ce6V5,0
Al89Ce8Cr3,0
Al89Co1Ni10,0
Al89Co2Ni9,0
Al89Co3Ni8,0
Al89Co4Ni7,0
Al89Co5Ni6,0
Al89Co6Ni5,0
Al89Fe1Ni10,0
Al89Fe2Ni9,0
Al89Fe3Ni8,0
Al89Fe4Ni7,0
Al89Fe5Ni6,0
Al89Fe6Ni5,0
Al89Fe7Ni4,0
Al89Fe9Ni2,0
Al89Mn2Ni9,0
Al8B10Co82,0
Al8B10Fe82,0
Al8B14Co78,0
Al8Ce6Cu86,0
Al8Cu82Nd10,0
Al8Cu86Nd6,0
Al8Cu88Nd4,0
Al8Ga2Mg90,0
Al8Ga3Mg89,0
Al90Ca5Fe5,0
Al90Ca5Ni5,0
Al90Ce5Cu5,0
Al90Ce5Nb5,0
Al90Ce5Ni5,0
Al90Co2Fe8,0
Al90Co2Mn8,0
Al90Co2Ni8,0
Al90Co4Fe6,0
Al90Co4Mn6,0
Al90Co4Ni6,0
Al90Co5Ni5,0
Al90Co6Fe4,0
Al90Co6Mn4,0
Al90Co6Ni4,0
Al90Co8Fe2,0
Al90Co8Mn2,0
Al90Co8Ni2,0
Al90Cr5Si5,0
Al90Fe1Ni9,0
Al90Fe2Ni8,0
Al90Fe4Ni6,0
Al90Fe5Ni5,0
Al90Fe6Ni4,0
Al90Fe8Ni2,0
Al90Fe8Si2,0
Al90La5Ni5,0
Al90Mn2Ni8,0
Al90Mn4Ni6,0
Al90Mn6Ni4,0
Al90Mn8Ni2,0
Al90Nd1Ni9,0
Al90Ni5Zr5,0
Al91Co1Ni8,0
Al91Co2Ni7,0
Al91Fe1Ni8,0
Al91Fe2Ni7,0
Al91Fe3Ni6,0
Al91Fe6Ni3,0
Al92.5Ca2.5Fe5,0
Al92.5Ca2.5Ni5,0
Al92Co2Fe6,0
Al92Co2Mn6,0
Al92Co2Ni6,0
Al92Co4Fe4,0
Al92Co4Mn4,0
Al92Co4Ni4,0
Al92Co6Fe2,0
Al92Co6Mn2,0
Al92Co6Ni2,0
Al92Fe2Ni6,0
Al92Fe4Ni4,0
Al92Fe5Ni3,0
Al92Fe6Ni2,0
Al92Mn2Ni6,0
Al92Mn4Ni4,0
Al92Mn6Ni2,0
Al92Nd2Ni6,0
Al92Nd4Ni4,0
Al92Nd6Ni2,0
Al93Ce2Cr5,0
Al93Ce2Mn5,0
Al94Ce2Cr4,0
Al94Ce2Fe4,0
Al94Ce2Mn4,0
Al94Ce2V4,0
Al94Ce4Co2,0
Al94Ce4Fe2,0
Al94Co2Fe4,0
Al94Co2Mn4,0
Al94Co2Ni4,0
Al94Co4Fe2,0
Al94Co4Mn2,0
Al94Co4Ni2,0
Al94Fe2Ni4,0
Al94Fe4Ni2,0
Al94Mn2Ni4,0
Al94Mn4Ni2,0
Al94Nd2Ni4,0
Al94Nd4Ni2,0
Al95.8Ni0.7Ti3.5,0
Al95Ce2Co3,0
Al96Co2Fe2,0
Al96Co2Mn2,0
Al96Co2Ni2,0
Al96Fe2Ni2,0
Al96Mn2Ni2,0
Al96Nd2Ni2,0
Al9Ga2Mg89,0
Au20.9Pd62.6Si16.5,0
B10C10Ni80,0
B10C15Ni75,0
B10C20Ni70,0
B10C5Ni85,0
B10C8Ni82,0
B10Co70Si20,0
B10Co80Si10,0
B10Co82Si8,0
B10Co85Si5,0
B10Cr10Fe80,0
B10Cr12Fe78,0
B10Cr14Fe76,0
B10Cr15Fe75,0
B10Cr18Fe72,0
B10Cr20Fe70,0
B10Cr22Fe68,0
B10Cr5Fe85,0
B10Cr8Fe82,0
B10Cu10Fe80,0
B10Cu15Fe75,0
B10Cu1Fe89,0
B10Cu3Fe87,0
B10Cu5Fe85,0
B10Fe20Mn70,0
B10Fe65Ni25,0
B10Fe70Ni20,0
B10Fe75Mn15,0
B10Fe75Ni15,0
B10Fe75V15,0
B10Fe80Mn10,0
B10Fe80V10,0
B10Fe83.5Si6.5,0
B10Fe83Si7,0
B10Fe85Mn5,0
B10Fe85Mo5,0
B10Fe85V5,0
B10Fe87Mn3,0
B10Fe88Zr2,0
B10Fe89Mn1,0
B10Fe89Ni1,0
B10Mo65Si25,0
B10Mo80Si10,0
B10Mo85Si5,0
B10Ni72Si18,0
B11.5C10Ni78.5,0
B11Fe75P14,0
B11Fe85P4,0
B12.5Co80.5Si7,0
B12C16Co72,0
B12C4Co84,0
B12C6Ni82,0
B12C8Co80,0
B12Cu10Fe78,0
B12Cu15Fe73,0
B12Cu1Fe87,0
B12Cu20Fe68,0
B12Cu3Fe85,0
B12Cu5Fe83,0
B12Fe20Mn68,0
B12Fe63Ni25,0
B12Fe73Mn15,0
B12Fe73V15,0
B12Fe78Mn10,0
B12Fe83Mn5,0
B12Fe83Ni5,0
B12Fe85Mn3,0
B12Fe85Ni3,0
B12Fe87Mn1,0
B12Fe87Ni1,0
B12Ni80Si8,0
B12Ni84Si4,0
B13C10Ni77,0
B13C12Ni75,0
B13Fe85Si2,0
B13Ni69Si18,0
B14C16Ni70,0
B14C20Ni66,0
B14C2Ni84,0
B14Co82Si4,0
B14Cu10Fe76,0
B14Cu15Fe71,0
B14Cu1Fe85,0
B14Cu20Fe66,0
B14Cu3Fe83,0
B14Cu5Fe81,0
B14Ni80Si6,0
B15C12Ni73,0
B15Co65Si20,0
B15Mo65Si20,0
B15Mo80Si5,0
B16C16Co68,0
B16C20Co64,0
B16Cu10Fe74,0
B16Cu15Fe69,0
B16Cu1Fe83,0
B16Cu20Fe64,0
B16Cu3Fe81,0
B16Cu5Fe79,0
B16Ni68Si16,0
B16Ni80Si4,0
B17C16Ni67,0
B17C8Ni75,0
B17Fe80P3,0
B18C6Ni76,0
B18Cu10Fe72,0
B18Cu15Fe67,0
B18Cu1Fe81,0
B18Cu20Fe62,0
B18Cu5Fe77,0
B18Fe79P3,0
B19Fe75P6,0
B19Fe77P4,0
B19Ni67Si14,0
B1Cu20Zr79,0
B1Cu75Zr24,0
B2.5Cu75Zr22.5,0
B20C6Ni74,0
B20C8Ni72,0
B20Co60Si20,0
B20Co62.5Si17.5,0
B20Cu10Fe70,0
B20Cu1Fe79,0
B20Cu5Fe75,0
B20Mo60Si20,0
B20Mo65Si15,0
B20Mo77.5Si2.5,0
B20Ni77.5Si2.5,0
B22.5Co60Si17.5,0
B22C2Ni76,0
B22C5Ni73,0
B22C8Ni70,0
B22Fe76Si2,0
B22Ni75.5Si2.5,0
B24C4Ni72,0
B24Fe73Si3,0
B24Fe74Si2,0
B24Ni64Si12,0
B25Mo60Si15,0
B25Mo70Si5,0
B25Ni72.5Si2.5,0
B26C2Ni72,0
B26C4Ni70,0
B28C20Co52,0
B28Ni60Si12,0
B28Ni64Si8,0
B28Ni69Si3,0
B2Co82Zr16,0
B2Cr12Fe86,0
B2Cr14Fe84,0
B2Cr16Fe82,0
B2Cr20Fe78,0
B2Fe73Ni25,0
B2Fe78Mo20,0
B2Fe78Ni20,0
B2Fe80Mo18,0
B2Fe83Mo15,0
B2Fe83Ni15,0
B2Fe86Mo12,0
B2Fe88Mo10,0
B2Fe88Ni10,0
B2Fe90Mo8,0
B2Fe93Mo5,0
B30Mo60Si10,0
B30Ni66Si4,0
B32C20Co48,0
B36C12Co52,0
B36C16Co48,0
B36C8Co56,0
B3Fe82Zr15,0
B3Fe83P14,0
B3Fe85Nb12,0
B3Fe92Nb5,0
B40C2Co58,0
B40C4Ni56,0
B40C6Ni54,0
B41C6Ni53,0
B42.5C2.5Ni55,0
B44C2.5Ni53.5,0
B46C4Ni50,0
B46C8Ni46,0
B4Cr12Fe84,0
B4Cr14Fe82,0
B4Cr15Fe81,0
B4Cr16Fe80,0
B4Cr20Fe76,0
B4Cr5Fe91,0
B4Cu10Fe86,0
B4Cu1Fe95,0
B4Cu5Fe91,0
B4Fe71Ni25,0
B4Fe76Mo20,0
B4Fe76Ni20,0
B4Fe78Mo18,0
B4Fe81Mo15,0
B4Fe81Ni15,0
B4Fe84Mo12,0
B4Fe84P12,0
B4Fe86Mo10,0
B4Fe86Ni10,0
B4Fe86V10,0
B4Fe88Mo8,0
B4Fe91Mn5,0
B4Fe91Mo5,0
B4Fe91Ni5,0
B4Fe91V5,0
B4Fe93Mn3,0
B4Fe93Ni3,0
B4Fe95Mn1,0
B4Fe95Ni1,0
B50C4Ni46,0
B50C8Ni42,0
B58C4Ni38,0
B5C15Ni80,0
B5C20Ni75,0
B5C5Ni90,0
B5Co75Si20,0
B5Fe80Nb15,0
B5Fe81Nd14,0
B5Fe83Nb12,0
B5Fe84P11,0
