Ag,Al,Au,B,Be,C,Ca,Ce,Co,Cr,Cu,Dy,Er,Fe,Ga,Gd,Hf,Ho,In,La,Li,Lu,Mg,Mn,Mo,Nb,Nd,Ni,P,Pd,Pr,Sc,Si,Sm,Sn,Ta,Tb,Ti,Tm,W,Y,Yb,Zn,Zr,Dmax
0,6.93,0,0,0,0,0,0,0,0,49.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42.57,12
0,7,0,0,0,0,0,0,0,0,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,10
0,0,0,0,10,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,27,5
0,0,0,0,0,0,0,0,0,0,58.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,0,0,2,0,0,29.4,5
0,0,0,0,0,0,0,0,0,0,59.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.9,0,0,0,0,0,29.7,5
0,8,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,5
0,0,0,19.2,0,0,0,0,0,0,0,0,0,65.28,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4.8,0,0,0,6.72,0,0,0,0,0,0,0,2
0,0,0,19.2,0,0,0,0,0,0,0,0,0,66.24,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4.8,0,0,0,5.76,0,0,0,0,0,0,0,3
0,0,0,19.2,0,0,0,0,0,0,0,0,0,67.2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4.8,0,0,0,4.8,0,0,0,0,0,0,0,3.5
0,0,0,19.2,0,0,0,0,0,0,0,0,0,68.16,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4.8,0,0,0,3.84,0,0,0,0,0,0,0,3.5
0,0,0,19.2,0,0,0,0,0,0,0,0,0,69.12,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4.8,0,0,0,2.88,0,0,0,0,0,0,0,3
0,0,0,19.2,0,0,0,0,0,0,0,0,0,70.08,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4.8,0,0,0,1.92,0,0,0,0,0,0,0,2.5
0,0,0,19.2,0,0,0,0,0,0,0,0,0,71.04,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4.8,0,0,0,0.96,0,0,0,0,0,0,0,1
0,0,0,14.4,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9.6,0,0,0,0,0,0,0,0,0,0,0,1.5
0,0,0,14.7,0,0,0,0,0,0,0,0,0,73.5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,14.85,0,0,0,0,0,0,0,0,0,74.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.9,0,0,0,0,0,0,0,0,0,0,0,0.5
0,0,0,14.85,0,0,0,0,0,0,0,0,0,74.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0,0,0,0,0,0,0,0,1,0.75
0,0,0,19.2,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,1.5
0,0,0,22.32,0,0,0,0,0,0,0,7,0,66.96,0,0,0,0,0,0,0,0,0,0,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,22.56,0,0,0,0,0,0,0,6,0,67.68,0,0,0,0,0,0,0,0,0,0,3.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,22.8,0,0,0,0,0,0,0,5,0,68.4,0,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,19.2,0,0,0,0,0,0,0,0,0,69.12,0,0,0,0,0,0,0,0,0,0,0,3.84,0,0,0,0,0,0,3.84,0,0,0,0,0,0,0,4,0,0,0,3
0,0,0,19.4,0,0,0,0,0,0,0,0,0,69.84,0,0,0,0,0,0,0,0,0,0,0,3.88,0,0,0,0,0,0,3.88,0,0,0,0,0,0,0,3,0,0,0,4
0,0,0,19.6,0,0,0,0,0,0,0,0,0,70.56,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,2,0,0,0,2
0,0,0,19.8,0,0,0,0,0,0,0,0,0,71.28,0,0,0,0,0,0,0,0,0,0,0,3.96,0,0,0,0,0,0,3.96,0,0,0,0,0,0,0,1,0,0,0,2
0,0,0,23,0,0,0,0,14.2,0,0,0,0,56.8,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,12.726,0,0,0,0,0,0,0,74.0835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,0,0,0,3.4542,0,0,0,0,0,0.6363,0,0,0,0,0,1
0,0,0,0,0,12.9318,0,0,0,0,0,0,0,75.28155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.63,0,0,0,3.51006,0,0,0,0,0,0.64659,0,0,0,0,0,1
0,0,0,19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,72,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0.5
