AAM,RAM,rAM,dAM,rAR ,RDen,dDen ,ATm,mTm,RTm,dTm,MCp,dCp,AIE,dIE ,MEN,dEN ,rLP ,dLP ,mVEC,dVEC,AsVEC,fs,MpVEC,fp,mdVEC,RdVEC, H,S/R,PHSS,N,Class,Alloy,Dmax,Tg,Tx,Tl
0.39907212,0.426098754,0.338271233,0.399994561,0.587515041,0.415783298,0.381784121,0.425911317,0.384892334,0.403286934,0.476264919,0.269786461,0.221422955,0.428596411,0.43056085,0.5,0.44339803,0.351845825,0.25764291,0.32,0.4896598,0.758882353,0.389748915,0.4,0.245622154,0.2,0.8,0.431329181,0.567596538,0.70349819,0.5,1,(Zr0.55Al0.20Co0.20Cu0.05)93Ag7,14,753,806,1222
0.396401915,0.426098754,0.338271233,0.400369567,0.587515041,0.415783298,0.381039293,0.428276158,0.384892334,0.403286934,0.473719652,0.269786461,0.221532667,0.426128872,0.43057381,0.5,0.441046311,0.351845825,0.257023454,0.32,0.487079336,0.765588235,0.396433791,0.4,0.247605128,0.2,0.8,0.425544767,0.5578854,0.701887963,0.5,1,(Zr0.55Al0.20Co0.20Cu0.05)95Ag5,16,747,806,1220
0.39373171,0.426098754,0.338271233,0.400555875,0.587515041,0.415783298,0.380019707,0.430640998,0.384892334,0.403286934,0.471065298,0.269786461,0.221635895,0.423661334,0.430458714,0.5,0.438340779,0.351845825,0.256387537,0.32,0.483556849,0.772294118,0.403412398,0.4,0.249675233,0.2,0.8,0.419711219,0.545603734,0.700920051,0.5,1,(Zr0.55Al0.20Co0.20Cu0.05)97Ag3,16,740,805,1246
0.391061505,0.426098754,0.338271233,0.400541778,0.587515041,0.415783298,0.37870259,0.433005839,0.384892334,0.403286934,0.468303182,0.269786461,0.221732714,0.421193795,0.430213641,0.5,0.435259026,0.351845825,0.255735506,0.32,0.47893729,0.779,0.41070453,0.4,0.251838341,0.2,0.8,0.413828536,0.528873823,0.701098733,0.5,1,(Zr0.55Al0.20Co0.20Cu0.05)99Ag1,10,739,813,1275
0.411651486,0.377871731,0.368319908,0.348765929,0.587515041,0.383339285,0.333641899,0.442222973,0.384892334,0.403286934,0.440434293,0.269786461,0.221478891,0.432080732,0.401932993,0.485483871,0.449056715,0.347664067,0.263584305,0.32,0.501082956,0.718823529,0.371875498,0.4,0.223881548,0.2,0.8,0.498431818,0.483493382,0.73341818,0.4,1,(Zr0.62Cu0.23Fe0.05Al0.10),3,651,751,1186
0.419462448,0.426098754,0.338271233,0.350032164,0.587515041,0.415783298,0.340268429,0.433383601,0.384892334,0.403286934,0.45278346,0.269786461,0.221022697,0.439868667,0.402845107,0.5,0.45798164,0.347664067,0.265505933,0.32,0.500169079,0.6998,0.35466215,0.4,0.220857224,0.2,0.8,0.508017076,0.537768823,0.731904543,0.5,1,(Zr0.62Cu0.23Fe0.05Al0.10)93Ag7,4,664,751,1191
0.417230744,0.426098754,0.338271233,0.349871833,0.587515041,0.415783298,0.338749427,0.435909136,0.384892334,0.403286934,0.449419225,0.269786461,0.221159725,0.437643543,0.40273166,0.5,0.455877117,0.347664067,0.264975065,0.32,0.500942064,0.705235294,0.359362518,0.4,0.221683062,0.2,0.8,0.506932535,0.527416229,0.732016472,0.5,1,(Zr0.62Cu0.23Fe0.05Al0.10)95Ag5,5,663,747,1189
0.414999041,0.426098754,0.338271233,0.349554664,0.587515041,0.415783298,0.336944242,0.43843467,0.384892334,0.403286934,0.445924023,0.269786461,0.221291362,0.435418418,0.402501407,0.5,0.453426725,0.347664067,0.264429407,0.32,0.501327453,0.710670588,0.364232361,0.4,0.222538676,0.2,0.8,0.505927308,0.514493106,0.732579375,0.5,1,(Zr0.62Cu0.23Fe0.05Al0.10)97Ag3,10,658,743,1181
0.412767338,0.426098754,0.338271233,0.349072131,0.587515041,0.415783298,0.334826916,0.440960205,0.384892334,0.403286934,0.442297292,0.269786461,0.221417691,0.433193294,0.402152537,0.5,0.450609822,0.347664067,0.263869475,0.32,0.501282275,0.716105882,0.369281012,0.4,0.223425706,0.2,0.8,0.505001395,0.497121739,0.733889423,0.5,1,(Zr0.62Cu0.23Fe0.05Al0.10)99Ag1,4,656,753,1175
0.311589923,0.429597252,0.250199478,0.441251567,0.402471483,0.398979748,0.40290465,0.466541215,0.605887436,0.380823837,0.345529769,0.257973648,0.506393923,0.601124151,0.287704326,0.553225806,0.274410373,0.278263197,0.312789099,0.32,0.387770743,0.785882353,0.349390554,0.6,0.254850178,0.2,0.62,0.512049267,0.572056161,0.682347664,0.5,1,[(Co0.6Fe0.4)0.75B0.2Si0.05]96Nb4,4,823,865,1418
